word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
ansambl	-	+	2	mbl	aa	a		"zespół muzyków, śpiewaków lub aktorów"	
anszlus	-	+	2	s	au	u		"włączenie Austrii do III Rzeszy przez Niemcy hitlerowskie w 1938 r."	
ansztalt	-	+	2	lt	aa	a		NOT FOUND	
antabus	-	+	3	s	aau	u		"związek organiczny wpływający na proces przemiany alkoholu etylowego w organizmie"	
antagonizm	-	+	4	zm	aaoi	i	izm	"wzajemna niechęć lub wrogość, wynikające ze sprzeczności interesów lub różnicy poglądów"	
antał	+	-	2	ł	aa	a		"dawna jednostka objętości płynów"	единица измерения
antałeczek	+	-	4	k	aaee	e	eczek	NOT FOUND	
antałek	+	-	3	k	aae	e	ek	"mała beczułka na piwo lub wino; też: zawartość takiej beczułki"	артефакт
antecedens	-	+	4	ns	aeee	e		"fakt poprzedzający stan obecny"	
antefiks	-	+	3	ks	aei	i		"element dekoracyjny zasłaniający dachówki wzdłuż okapu dachu, charakterystyczny dla architektury greckiej, etruskiej i rzymskiej"	артефакт
antemion	-	+	4	n	aeio	o		"ornament składający się ze stylizowanych liści, wici i kwiatów, występujący w architekturze i ceramice starożytnej"	
anterozoid	-	+	5	d	aeooi	i		NOT FOUND	
anthem	-	+	2	m	ae	e		"nieliturgiczny utwór chóralny śpiewany w Kościele anglikańskim"	
anthemion	-	+	4	n	aeio	o	ion	"ornament składający się ze stylizowanych liści, wici i kwiatów, występujący w architekturze i ceramice starożytnej"	
anticol	-	+	3	l	aio	o		NOT FOUND	
antikol	-	+	3	l	aio	o		NOT FOUND	
antocyjan	-	+	4	n	aoya	a		"niebieski, fioletowy lub czerwony barwnik roślinny"	
antocyjanidyn	-	+	6	n	aoyaiy	y		NOT FOUND	
antofilit	-	+	4	t	aoii	i		NOT FOUND	
antofyllit	-	+	4	t	aoyi	i		"minerał występujący w skałach metamorficznych"	
antonim	-	+	3	m	aoi	i		"każdy z pary wyrazów mających przeciwstawne znaczenia, np. twardy – miękki"	
antracen	-	+	3	n	aae	e		"węglowodór aromatyczny mający postać bezbarwnych blaszek"	
antrachinon	-	+	4	n	aaio	o		"związek organiczny mający postać żółtozielonych igieł"	
antracyt	-	+	3	t	aay	y		"odmiana węgla kamiennego"	
antraks	-	+	2	ks	aa	a		NOT FOUND	
antrakt	-	+	2	kt	aa	a		"przerwa między aktami przedstawienia teatralnego, częściami koncertu itp."	
antranoid	-	+	4	d	aaoi	i		NOT FOUND	
antropocentryzm	-	+	5	zm	aooey	y	yzm	"pogląd, według którego człowiek jest ośrodkiem i celem świata, a wszystko w przyrodzie dzieje się ze względu na niego"	
antropofit	-	+	4	t	aooi	i		NOT FOUND	
antropolit	-	+	4	t	aooi	i		"skamielina ciała ludzkiego lub jego części"	
antropologizm	-	+	5	zm	aoooi	i	izm	"pogląd filozoficzny wiążący rozwój człowieka głównie z jego cechami biologicznymi, a nie uwarunkowaniami społecznymi"	
antropometr	-	+	4	tr	aooe	e		"przyrząd do mierzenia wysokości ciała człowieka, długości kończyn oraz kości długich szkieletu"	артефакт
antropomorfizm	-	+	5	zm	aoooi	i	izm	"przypisywanie cech ludzkich zjawiskom przyrody, zwierzętom i przedmiotom"	
antroponim	-	+	4	m	aooi	i		"nazwa własna osoby, np. imię, nazwisko lub pseudonim"	
antroponoetyzm	-	+	6	zm	aoooey	y	yzm	"pogląd zakładający, że świat rządzony przez Boga, kierującego się takimi samymi zasadami jak ludzie, jest racjonalną całością oraz że rozum ludzki i boski są podobne"	
antropopatyzm	-	+	5	zm	aooay	y	yzm	"pogląd przypisujący zwierzętom, roślinom i przedmiotom uczuciowość właściwą człowiekowi"	
antropozoik	-	+	5	k	aoooi	i		NOT FOUND	
antrykot	-	+	3	t	ayo	o		"mięso z kością z przedniej górnej części tuszy wołowej lub cielęcej; też: surowy lub smażony kawałek tego mięsa"	
anturaż	-	+	3	ż	aua	a		NOT FOUND	
antyaliasing	-	+	6	ng	ayaiai	i		NOT FOUND	
antyamerykanizm	-	+	7	zm	ayaeyai	i	izm	NOT FOUND	
antyandrogen	-	+	5	n	ayaoe	e		NOT FOUND	
antyapeks	-	+	4	ks	ayae	e		"punkt na sferze niebieskiej przeciwległy do apeksu"	
antyatom	-	+	4	m	ayao	o		"atom o ujemnie naładowanym jądrze, złożonym z antyprotonów i antyneutronów, oraz o powłoce otoczonej antyelektronami"	
antyawangardyzm	-	+	6	zm	ayaaay	y	yzm	NOT FOUND	
antybakch	+	+	3	kch	aya	a		"w wersyfikacji antycznej: rodzaj stopy wierszowej"	
antybakchej	+	+	4	j	ayae	e		NOT FOUND	
antybarion	-	+	5	n	ayaio	o		NOT FOUND	
antybiogram	-	+	5	m	ayioa	a		"wynik testu laboratoryjnego, opisujący wrażliwość poszczególnych typów bakterii na działanie antybiotyków, sulfonamidów itp."	
antybiotyk	-	+	5	k	ayioy	y		"substancja wstrzymująca wzrost drobnoustrojów lub zabijająca je, stosowana jako lek"	вещество
antybiotykogram	-	+	7	m	ayioyoa	a		"wynik testu laboratoryjnego, opisujący wrażliwość poszczególnych typów bakterii na działanie antybiotyków, sulfonamidów itp."	
antybodziec	+	-	5	c	ayoie	e	iec	"bodziec przeciwdziałający innemu bodźcowi"	
antychlor	-	+	3	r	ayo	o		"bezbarwna substancja krystaliczna mająca właściwość wiązania chloru"	вещество
antycyklon	-	+	4	n	ayyo	o		"silny wir powietrzny, w którym ciśnienie wzrasta ku środkowi, a ruch powietrza skierowany jest na zewnątrz; też: obszar objęty taką cyrkulacją"	движение
antyczek	+	-	3	k	aye	e	ek	NOT FOUND	
antydaktyl	+	-	4	l	ayay	y		"rodzaj stopy wierszowej"	
antydemokratyzm	-	+	6	zm	ayeoay	y	yzm	"cecha czegoś, co jest sprzeczne z zasadami demokracji"	
antydepresant	-	+	5	nt	ayeea	a		"lek antydepresyjny"	
antydetonator	+	-	6	r	ayeoao	o		"związek chemiczny dodawany do benzyny silnikowej, przeciwdziałający gwałtownemu spalaniu detonacyjnemu paliwa"	вещество
antydeuteron	-	+	6	n	ayeueo	o		"antyjądro ciężkiego wodoru"	
antydialog	-	+	5	g	ayiao	o		NOT FOUND	
antydogmatyzm	-	+	5	zm	ayoay	y	yzm	"krytyczny stosunek do dogmatów"	
antydot	-	+	3	t	ayo	o		NOT FOUND	
antydramat	-	+	4	t	ayaa	a		"odmiana dramatu niezachowująca tradycyjnych konwencji"	
antyelektron	-	+	5	n	ayeeo	o		NOT FOUND	
antyempiryzm	-	+	5	zm	ayeiy	y	yzm	"pogląd głoszący, że źródłem poznania jest rozum, a nie doświadczenie"	
antyenzym	-	+	4	m	ayey	y		"przeciwciało wytwarzane przez organizm po wprowadzeniu obcych enzymów do tkanek"	
antyestetyzm	-	+	5	zm	ayeey	y	yzm	"pogląd w sztuce i literaturze przeciwstawiający się estetyzmowi"	
antyestrogen	-	+	5	n	ayeoe	e		"lek hormonalny blokujący działanie hormonów żeńskich"	
antyfaszyzm	-	+	4	zm	ayay	y	yzm	"przeciwnik faszyzmu"	
antyfederalizm	-	+	6	zm	ayeeai	i	izm	NOT FOUND	
antyfeminizm	-	+	5	zm	ayeii	i	izm	"nieuznawanie równouprawnienia kobiet"	
antyferroelektryk	+	+	7	k	ayeoeey	y		"ciało krystaliczne niewykazujące spontanicznej polaryzacji"	
antyferromagnetyk	-	+	7	k	ayeoaey	y		"ciało krystaliczne niewykazujące namagnesowania poniżej pewnej temperatury i przy braku zewnętrznego pola magnetycznego"	
antyferromagnetyzm	-	+	7	zm	ayeoaey	y	yzm	"zespół zjawisk magnetycznych występujących w antyferromagnetykach"	
antyfestiwal	-	+	5	l	ayeia	a		NOT FOUND	
antyfilm	-	+	3	lm	ayi	i		"film przeciwstawiający się typowym schematom w określonych gatunkach filmowych i konwencjom sztuki filmowej"	
antyfon	-	+	3	n	ayo	o		"w liturgii chrześcijańskiej: krótki tekst modlitewny przeplatający psalmy, hymny, litanie lub będący samodzielną modlitwą"	
antyfonariusz	+	-	6	sz	ayoaiu	u	iusz	NOT FOUND	
antyfonarz	+	-	4	rz	ayoa	a	arz	"księga zawierająca zbiór antyfon"	артефакт
antyfonał	-	+	4	ł	ayoa	a	ał	NOT FOUND	
antygaz	-	+	3	z	aya	a		NOT FOUND	
antygen	-	+	3	n	aye	e		"substancja, której obecność w organizmie powoduje powstawanie przeciwciał"	вещество
antyglobalizm	-	+	5	zm	ayoai	i	izm	"wszelkie ruchy polityczne, społeczne, religijne upatrujące w globalizacji zagrożenie dla państw ekonomicznie słabszych"	
antygoryt	-	+	4	t	ayoy	y		"minerał o barwie zielonej w odcieniu oliwkowym, szarym lub żółtym"	
antyhitleryzm	-	+	5	zm	ayiey	y	yzm	NOT FOUND	
antyhormon	-	+	4	n	ayoo	o		"związek chemiczny hamujący działanie hormonów lub uniemożliwiający ich wytwarzanie przez organizm"	вещество
antyhumanizm	-	+	5	zm	ayuai	i	izm	"pogląd filozoficzny doszukujący się w humanizmie niebezpiecznego uwielbienia człowieka"	
antyimperializm	-	+	7	zm	ayieiai	i	izm	"kierunek w polityce przeciwstawiający się imperializmowi"	абстрактное понятие
antyimport	-	+	4	rt	ayio	o		NOT FOUND	
antyindukcjonizm	-	+	6	zm	ayiuoi	i	izm	NOT FOUND	
antyindywidualizm	-	+	8	zm	ayiyiuai	i	izm	NOT FOUND	
antyintelektualizm	-	+	8	zm	ayieeuai	i	izm	"poglądy wyrażające sprzeciw wobec wartości poznania intelektualnego"	
antyjudaizm	-	+	5	zm	ayuai	i	izm	NOT FOUND	
antyk	-	+	2	k	ay	y		"stary, zabytkowy przedmiot"	артефакт
antyklerykalizm	-	+	6	zm	ayeyai	i	izm	"postawa wyrażająca się w niechętnym lub wrogim stosunku do udziału kleru w życiu społecznym i politycznym"	
antyklimaks	-	+	4	ks	ayia	a		NOT FOUND	
antyklimat	-	+	4	t	ayia	a		NOT FOUND	
antykoagulant	-	+	6	nt	ayoaua	a		"lek zmniejszający krzepliwość krwi"	
antykodon	-	+	4	n	ayoo	o		NOT FOUND	
antykognitywizm	-	+	6	zm	ayoiyi	i	izm	NOT FOUND	
antykolonializm	-	+	7	zm	ayooiai	i	izm	"kierunek w polityce przeciwstawiający się kolonializmowi"	абстрактное понятие
antykomunizm	-	+	5	zm	ayoui	i	izm	"wroga postawa wobec komunizmu"	
antykonformizm	-	+	5	zm	ayooi	i	izm	NOT FOUND	
antykonstruktywizm	-	+	6	zm	ayouyi	i	izm	NOT FOUND	
antykorodal	-	+	5	l	ayooa	a		"stop aluminium z domieszką krzemu, manganu, magnezu i tytanu"	
antykrytycyzm	-	+	5	zm	ayyyy	y	yzm	NOT FOUND	
antykwariat	-	+	5	t	ayaia	a		"sklep, w którym można sprzedać lub kupić używane książki"	
antykwark	+	-	3	rk	aya	a		"antycząstka kwarka"	
antyliberalizm	-	+	6	zm	ayieai	i	izm	"wroga postawa wobec liberalizmu"	
antylogarytm	-	+	5	tm	ayoay	y		"liczba będąca wynikiem podniesienia podstawy logarytmu do potęgi, której wykładnikiem jest dany logarytm"	
antylogizm	-	+	4	zm	ayoi	i	izm	"taki układ trzech zdań, w którym z każdej pary zdań tego układu wynika zdanie sprzeczne z pozostałym, trzecim"	
antymer	-	+	3	r	aye	e	er	NOT FOUND	
antymetabolit	-	+	6	t	ayeaoi	i		"związek chemiczny zastępujący właściwy metabolit w procesach biochemicznych"	вещество
antymilitaryzm	-	+	6	zm	ayiiay	y	yzm	"kierunek w polityce postulujący zaprzestanie zbrojeń i zlikwidowanie stałej armii"	абстрактное понятие
antymitotyk	-	+	5	k	ayioy	y		NOT FOUND	
antymobbing	-	+	4	ng	ayoi	i		NOT FOUND	
antymon	-	+	3	n	ayo	o		"pierwiastek chemiczny stosowany jako składnik stopów"	
antymonek	+	-	4	k	ayoe	e	ek	"związek antymonu z bardziej od niego elektrododatnim metalem"	
antymonian	-	+	5	n	ayoia	a	ian	NOT FOUND	
antymonit	-	+	4	t	ayoi	i	it	"minerał o ołowianoszarej barwie, najbogatsza ruda antymonu"	
antymonowodór	-	+	6	r	ayoooó	ó		NOT FOUND	
antymonyl	-	+	4	l	ayoy	y	yl	NOT FOUND	
antynaturalizm	-	+	6	zm	ayauai	i	izm	"prąd w naukach humanistycznych i sztuce przeciwstawiający się naturalizmowi"	
antynazizm	-	+	4	zm	ayai	i	izm	NOT FOUND	
antyneoplaston	-	+	6	n	ayeoao	o		NOT FOUND	
antyneutron	-	+	5	n	ayeuo	o		"antycząstka neutronu"	
antynomizm	-	+	4	zm	ayoi	i	izm	"stanowisko teologiczne we wczesnym chrześcijaństwie i w protestantyzmie, zgodnie z którym Kościół nie jest zobowiązany do przestrzegania praw zawartych w Starym Testamencie, a obowiązany jest jedynie przestrzegać nakazy Chrystusa; też: wynikający z tego stanowiska pogląd podważający zasadność wszelkich norm etycznych lub negujący ich powszechność"	
antyoksydant	-	+	5	nt	ayoya	a		"związek chemiczny łatwo ulegający utlenianiu i mogący chronić przed utlenianiem inne związki lub pierwiastki"	вещество
antyonkogen	-	+	5	n	ayooe	e		NOT FOUND	
antyparlamentaryzm	-	+	7	zm	ayaaeay	y	yzm	NOT FOUND	
antypasat	-	+	4	t	ayaa	a		"stały wiatr wiejący w strefie zwrotnikowej ponad pasatem, w przeciwnym do niego kierunku"	
antypast	-	+	3	st	aya	a		"potrawa lub napój dodawane do właściwego posiłku w celu zaostrzenia apetytu"	артефакт
antypatriotyzm	-	+	6	zm	ayaioy	y	yzm	NOT FOUND	
antyperspirant	-	+	5	nt	ayeia	a		"kosmetyk hamujący wydzielanie potu"	артефакт
antyperz	-	+	3	rz	aye	e		NOT FOUND	
antypiren	-	+	4	n	ayie	e		"substancja zmniejszająca właściwości palne tworzyw sztucznych i kauczuków"	вещество
antypoczątek	-	+	5	k	ayoąe	e	ek	NOT FOUND	
antypolonizm	-	+	5	zm	ayooi	i	izm	NOT FOUND	
antyport	-	+	3	rt	ayo	o		NOT FOUND	
antypozytywizm	-	+	6	zm	ayoyyi	i	izm	NOT FOUND	
antyproton	-	+	4	n	ayoo	o		"antycząstka protonu"	
antypsychologizm	-	+	6	zm	ayyooi	i	izm	"kierunek w filozofii, naukach społecznych i literaturze przeciwstawiający się psychologizmowi"	абстрактное понятие
antyradar	-	+	4	r	ayaa	a		"urządzenie elektroniczne zakłócające pracę radaru"	артефакт
antyrasizm	-	+	4	zm	ayai	i	izm	NOT FOUND	
antyrealizm	-	+	5	zm	ayeai	i	izm	"kierunek w literaturze i sztuce przeciwstawiający się realizmowi"	абстрактное понятие
antyromantyzm	-	+	5	zm	ayoay	y	yzm	NOT FOUND	
antyrost	-	+	3	st	ayo	o		NOT FOUND	
antyschematyzm	-	+	5	zm	ayeay	y	yzm	NOT FOUND	
antysemityzm	-	+	5	zm	ayeiy	y	yzm	"wrogość wobec Żydów jako grupy wyznaniowej lub etnicznej; też: teoria uzasadniająca taką postawę"	абстрактное понятие
antyseptyk	-	+	4	k	ayey	y		"środek niszczący drobnoustroje"	
antyslogan	-	+	4	n	ayoa	a		NOT FOUND	
antysnobizm	-	+	4	zm	ayoi	i	izm	NOT FOUND	
antysocjalizm	-	+	5	zm	ayoai	i	izm	NOT FOUND	
antysowietyzm	-	+	6	zm	ayoiey	y	yzm	NOT FOUND	
antyspast	+	+	3	st	aya	a		"rodzaj stopy wierszowej"	
antysport	-	+	3	rt	ayo	o		NOT FOUND	
antystat	-	+	3	t	aya	a		NOT FOUND	
antystyl	-	+	3	l	ayy	y		NOT FOUND	
antysyjonizm	-	+	5	zm	ayyoi	i	izm	NOT FOUND	
antyszambr	-	+	3	mbr	aya	a		NOT FOUND	
antytalent	-	+	4	nt	ayae	e		"całkowity brak zdolności w jakimś kierunku"	
antyteatr	-	+	4	tr	ayea	a		"nurt w sztuce teatralnej zrywający z tradycyjnymi konwencjami w zakresie twórczości dramatycznej i inscenizacji"	
antyterroryzm	-	+	5	zm	ayeoy	y	yzm	NOT FOUND	
antytradycjonalizm	-	+	7	zm	ayayoai	i	izm	"postawa światopoglądowa przeciwna tradycjonalizmowi"	
antytrynitaryzm	-	+	6	zm	ayyiay	y	yzm	"nurt doktrynalny w obrębie chrześcijaństwa odrzucający dogmat Trójcy Świętej"	
antyurbanizm	-	+	5	zm	ayuai	i	izm	NOT FOUND	
antyutleniacz	+	-	6	cz	ayueia	a		"substancja dodawana do gumy, tworzyw sztucznych, kosmetyków itp. w celu zapobiegania utlenianiu zawartych w nich związków chemicznych i przedłużania ich trwałości"	вещество
antywerteks	-	+	4	ks	ayee	e		NOT FOUND	
antywirus	+	-	4	s	ayiu	u		NOT FOUND	
antywzorzec	+	-	4	c	ayoe	e		NOT FOUND	
antywzór	-	+	3	r	ayó	ó		NOT FOUND	
antyzbrylacz	+	-	4	cz	ayya	a		NOT FOUND	
anulus	+	-	3	s	auu	u		NOT FOUND	
anus	+	-	2	s	au	u		NOT FOUND	
anyż	-	+	2	ż	ay	y		"roślina uprawiana ze względu na owoce i nasiona używane do produkcji leków i kosmetyków"	растение
anyżek	-	+	3	k	aye	e	ek	"kruche ciastko lub cukierek z przyprawą anyżową"	
aoryst	-	+	3	st	aoy	y		"czas przeszły dokonany, występujący np. w języku greckim, staro-cerkiewno-słowiańskim i sanskrycie"	
apanaż	-	+	3	ż	aaa	a		"korzyści finansowe związane z zajmowaniem wysokiego stanowiska lub wykonywaniem prestiżowego zawodu"	
aparacik	-	+	4	k	aaai	i		"urządzenie spełniające określone zadania"	артефакт
aparat	-	+	3	t	aaa	a		"urządzenie spełniające określone zadania"	артефакт
apartamencik	-	+	5	k	aaaei	i		NOT FOUND	
apartament	-	+	4	nt	aaae	e		"luksusowo urządzone, wielopokojowe mieszkanie lub podobne pomieszczenie w hotelu"	
apartamentowiec	+	-	7	c	aaaeoie	e	iec	"wielopiętrowy budynek mieszkalny z luksusowymi mieszkaniami"	
apartheid	-	+	4	d	aaei	i		"doktryna społeczno-polityczna sankcjonująca segregację rasową i dyskryminację czarnej ludności"	абстрактное понятие
apastron	-	+	3	n	aao	o		"punkt orbity okołogwiazdowej ciała niebieskiego najbardziej oddalony od gwiazdy obieganej"	
apatriotyzm	-	+	5	zm	aaioy	y	yzm	NOT FOUND	
apatyt	-	+	3	t	aay	y		"minerał będący podstawowym źródłem fosforu w przyrodzie"	
apeiron	-	+	4	n	aeio	o		"w filozofii greckiej: bezkres – nieokreślona i nieskończona pramateria, znajdująca się w nieustannym ruchu"	
apeks	-	+	2	ks	ae	e		"punkt na sferze niebieskiej określający kierunek ruchu Słońca względem wybranej grupy gwiazd"	абстрактное понятие
apel	-	+	2	l	ae	e		"zbiórka wszystkich uczestników obozu, uczniów szkoły, żołnierzy jednostki itp. w celu sprawdzenia obecności lub przekazania jakichś informacji; też: sygnał do zbiórki"	
apelatyw	-	+	4	w	aeay	y		NOT FOUND	
apendyks	-	+	3	ks	aey	y		"załącznik do książki"	
apercepcjonizm	-	+	5	zm	aeeoi	i	izm	NOT FOUND	
aperitif	-	+	4	f	aeii	i		"lekki napój alkoholowy podawany przed posiłkiem dla pobudzenia apetytu"	
apertometr	-	+	4	tr	aeoe	e		NOT FOUND	
apetycik	-	+	4	k	aeyi	i		"chęć do jedzenia; też: chwilowa ochota na jakąś potrawę"	
apetyt	-	+	3	t	aey	y		"chęć do jedzenia; też: chwilowa ochota na jakąś potrawę"	
apiol	-	+	3	l	aio	o		"składnik olejku z nasion pietruszki"	
apis	-	+	2	s	ai	i		"biały byk z czarnymi znamionami, czczony jako wcielenie boga Ptaha"	
aplanat	-	+	3	t	aaa	a		"układ optyczny, w którym usunięto prawie wszystkie aberracje"	
aplauz	-	+	3	z	aau	u		"uznanie, zadowolenie lub zachwyt, wyrażane publicznie i głośno"	
aplegier	+	-	4	r	aeie	e	er	NOT FOUND	
aplegierek	+	-	5	k	aeiee	e	ek	NOT FOUND	
aplet	-	+	2	t	ae	e		"program w języku Java, stosowany na stronach internetowych"	
aplikator	+	-	4	r	aiao	o		"urządzenie do aplikowania leku lub kosmetyku"	артефакт
aplit	-	+	2	t	ai	i		"drobnoziarnista skała magmowa występująca w postaci żył"	вещество
aplomb	-	+	2	mb	ao	o		"pewność siebie"	
apoastron	-	+	4	n	aoao	o		NOT FOUND	
apochromat	-	+	4	t	aooa	a		"układ optyczny z usuniętą aberracją chromatyczną dla trzech barw"	
apoenzym	-	+	4	m	aoey	y		"białkowy składnik enzymu"	
apoferment	-	+	4	nt	aoee	e		NOT FOUND	
apofilit	-	+	4	t	aoii	i		NOT FOUND	
apofit	-	+	3	t	aoi	i		NOT FOUND	
apoftegmat	-	+	4	t	aoea	a		"krótka anegdota lub powiedzenie, zręcznie dostosowane do okoliczności"	
apograf	-	+	3	f	aoa	a		"kopia oryginału"	
apokryf	-	+	3	f	aoy	y		"księga biblijna, niezaliczona do kanonu ksiąg świętych"	артефакт
apolinaryzm	-	+	5	zm	aoiay	y	yzm	NOT FOUND	
apollonikon	-	+	5	n	aooio	o		NOT FOUND	
apolog	-	+	3	g	aoo	o		"krótki utwór dydaktyczno-moralizatorski o charakterze alegorycznym"	
apologetyk	-	+	5	k	aooey	y		"pismo lub mowa zawierające apologię"	
aporokaktus	+	-	5	s	aooau	u		NOT FOUND	
aport	-	+	2	rt	ao	o		"rozkaz wydawany psu, oznaczający: przynieś, podaj"	
aposterioryzm	-	+	6	zm	aoeioy	y	yzm	"pogląd filozoficzny, według którego prawdziwe poznanie zawsze opiera się na doświadczeniu i w nim tylko znajduje uzasadnienie"	
apostilb	-	+	3	lb	aoi	i		NOT FOUND	
apostolat	-	+	4	t	aooa	a		"godność biskupa"	
apostrof	-	+	3	f	aoo	o		"znak graficzny w kształcie przecinka z prawej strony litery u góry"	
apotropaizm	-	+	5	zm	aooai	i	izm	"magia broniąca przed złem"	
appeal	-	+	3	l	aea	a		"czyjś atrakcyjny seksualnie wygląd"	
appeasement	-	+	5	nt	aeaee	e		"polityka ustępstw wobec rosnących żądań któregoś z mocarstw, prowadzona w imię zachowania pokoju"	
appendix	-	+	3	x	aei	i		"załącznik do książki"	
apret	-	+	2	t	ae	e		NOT FOUND	
aprilis	-	+	3	s	aii	i		"dzień 1 kwietnia, w którym ludzie zgodnie z tradycją starają się wzajemnie oszukać dla żartu"	
aprioryzm	-	+	4	zm	aioy	y	yzm	"pogląd głoszący, że istnieje wiedza niezależna od doświadczenia i niewymagająca uzasadnienia w nim"	
apryl	+	-	2	l	ay	y		NOT FOUND	
apsel	+	-	2	l	ae	e		NOT FOUND	
aquapark	-	+	4	rk	auaa	a		NOT FOUND	
aquaplaning	-	+	5	ng	auaai	i		NOT FOUND	
ar	+	-	1	r	a	a		"symbol pierwiastka chemicznego argon"	
araban	-	+	3	n	aaa	a		NOT FOUND	
arabesk	-	+	3	sk	aae	e		NOT FOUND	
arabizm	-	+	3	zm	aai	i	izm	"wyraz, zwrot lub konstrukcja składniowa przejęte z języka arabskiego albo na nim wzorowane"	
arachid	-	+	3	d	aai	i		"jadalne nasiono owoców orzecha ziemnego"	
araczek	+	-	3	k	aae	e	aczek	NOT FOUND	
aragonit	-	+	4	t	aaoi	i		"minerał, składnik skorup i szkieletów organizmów morskich, główny składnik pereł"	
arak	-	+	2	k	aa	a	ak	"mocny, aromatyczny napój alkoholowy otrzymywany z ryżu i trzciny cukrowej"	артефакт
araliowiec	+	-	6	c	aaioie	e	iec	NOT FOUND	
arameizm	-	+	4	zm	aaei	i	izm	NOT FOUND	
aranż	-	+	2	nż	aa	a		NOT FOUND	
arbalet	-	+	3	t	aae	e		"kusza przystosowana do miotania kul kamiennych lub ołowianych, używana dawniej do polowań"	артефакт
arbitraż	-	+	3	ż	aia	a		"rozstrzyganie sporu przez arbitrów"	
arbuz	+	-	2	z	au	u		"roślina warzywna mająca owoce w kształcie dużej kuli, o zielonej skórce i czerwonym miąższu; też: owoc tej rośliny"	растение
archaik	-	+	3	k	aai	i		NOT FOUND	
archaizm	-	+	3	zm	aai	i	izm	"wyraz, forma wyrazu, konstrukcja składniowa, które wyszły z użycia"	
archenteron	-	+	4	n	aeeo	o		NOT FOUND	
archeozoik	-	+	5	k	aeooi	i		"era archaiczna"	
archetyp	-	+	3	p	aey	y		"pierwowzór jakiejś postaci, zdarzenia, motywu"	
archidiakonat	-	+	6	t	aiiaoa	a		"stanowisko, godność archidiakona"	
archifonem	-	+	4	m	aioe	e		NOT FOUND	
archipelag	-	+	4	g	aiea	a		"grupa wysp leżących blisko siebie"	
architraw	-	+	3	w	aia	a		"w architekturze antycznej: dolna część belkowania spoczywająca bezpośrednio na głowicy kolumny"	часть предмета
archiwizator	+	-	5	r	aiiao	o		NOT FOUND	
archiwizer	+	-	4	r	aiie	e	er	NOT FOUND	
archontat	-	+	3	t	aoa	a		NOT FOUND	
arcopal	-	+	3	l	aoa	a		NOT FOUND	
arcoroc	-	+	3	c	aoo	o		NOT FOUND	
arctic	-	+	2	c	ai	i		NOT FOUND	
arcydramat	-	+	4	t	ayaa	a		NOT FOUND	
arcydzięgiel	+	+	6	l	ayięie	e	iel	"roślina zielna o silnym, przyjemnym zapachu"	растение
arcypopis	-	+	4	s	ayoi	i		NOT FOUND	
arealizm	-	+	4	zm	aeai	i	izm	NOT FOUND	
areał	-	+	3	ł	aea	a		"powierzchnia ziemi uprawnej"	
aren	-	+	2	n	ae	e	en	"odgrodzone koliste miejsce w cyrku, gdzie odbywają się popisy"	
arenal	-	+	3	l	aea	a		"wilgotne piaski nadbrzeżne stanowiące środowisko życia glonów, pierwotniaków, nicieni itp."	
arenit	-	+	3	t	aei	i		NOT FOUND	
areometr	-	+	4	tr	aeoe	e		"przyrząd służący do pomiaru gęstości cieczy lub stężenia roztworu"	артефакт
areopag	-	+	4	g	aeoa	a		"najwyższa rada państwowa w starożytnych Atenach"	
areszt	-	+	2	szt	ae	e		"kara pozbawienia wolności"	
argental	-	+	3	l	aea	a		NOT FOUND	
argentan	-	+	3	n	aea	a		NOT FOUND	
argentyt	-	+	3	t	aey	y		"minerał będący najcenniejszą rudą srebra"	
argilit	-	+	3	t	aii	i		"skała osadowa"	вещество
argon	-	+	2	n	ao	o		"pierwiastek chemiczny, bezbarwny i bezwonny gaz szlachetny"	вещество
argonowiec	+	-	5	c	aooie	e	iec	NOT FOUND	
argot	-	-	2	t	ao	o		"odmiana języka używana przez jakąś grupę zawodową lub środowiskową"	
argotyzm	-	+	3	zm	aoy	y	yzm	NOT FOUND	
argumencik	-	+	4	k	auei	i		NOT FOUND	
argument	-	+	3	nt	aue	e		"fakt lub twierdzenie przytaczane dla uzasadnienia lub obalenia jakichś tez lub decyzji"	
arianizm	-	+	4	zm	aiai	i	izm	"kierunek w teologii chrześcijańskiej podważający dogmat Trójcy Świętej i zaprzeczający boskości Chrystusa"	абстрактное понятие
ariostyzm	-	+	4	zm	aioy	y	yzm	NOT FOUND	
arkabuz	+	-	3	z	aau	u		"ręczna broń palna używana w dawnej Europie"	артефакт
arkan	-	+	2	n	aa	a		"długi sznur zakończony pętlą, używany przez pasterzy i ludy koczownicze do chwytania zwierzyny oraz w walce do ściągania przeciwnika z siodła"	артефакт
arkas	+	-	2	s	aa	a		NOT FOUND	
arkebuz	+	-	3	z	aeu	u		"ręczna broń palna używana w dawnej Europie"	артефакт
arkusik	+	-	3	k	aui	i		"prostokątny płat papieru, folii, blachy"	артефакт
arkusz	+	-	2	sz	au	u		"prostokątny płat papieru, folii, blachy"	артефакт
armagedon	-	+	4	n	aaeo	o		"w Apokalipsie św. Jana: symboliczne miejsce ostatecznej zguby wrogów Boga"	
armagnac	-	+	3	c	aaa	a		"winiak wysokiej jakości, produkowany we Francji"	
armaniak	-	+	4	k	aaia	a		"winiak wysokiej jakości, produkowany we Francji"	
